,Country,Target,Year,avg_prob_not_aligned,avg_prob_aligned,avg_prob_neutral_irrelevant,avg_confidence,count
0,Albania,CHINA,2013,0.21123081768750002,0.0592496603125,0.72951952875,0.785512615625,16
1,Albania,CHINA,2022,0.59220916,0.05200259,0.35578826,0.59220916,1
2,Albania,EU,2004,0.004176560616666667,0.26614009899999996,0.7296833466666667,0.7296833466666667,6
3,Albania,EU,2005,0.005129830251111111,0.6398818033333333,0.3549883468888889,0.7848367444444445,9
4,Albania,EU,2012,0.009315408675000001,0.0480350340625,0.94264957125,0.94264957125,16
5,Albania,EU,2013,0.04830029402557377,0.25923782686885244,0.6924618786885246,0.778495787704918,61
6,Albania,EU,2014,0.003032971751333333,0.45977453646666666,0.5371924698,0.7627337093333334,15
7,Albania,EU,2016,0.008268097163636363,0.05580297336363637,0.9359289372727272,0.9359289372727272,11
8,Albania,EU,2017,0.003928456633333333,0.58993105,0.40614051,0.6069370666666667,6
9,Albania,EU,2019,0.00501293774,0.634258044,0.360729008,0.634258044,5
10,Albania,EU,2020,0.00154647376,0.332497393,0.665956132,0.719545794,5
11,Albania,EU,2022,0.001129638225,0.71518545,0.2836849,0.71518545,4
12,Albania,EU,2023,0.0100995643,0.383771904,0.6061285552,0.78811849,5
13,Albania,NATO,2004,0.0021486787914285713,0.6128465337142857,0.3850047828571429,0.7309525782142857,28
14,Albania,NATO,2005,0.0021763822145454545,0.7466550245454545,0.25116859172727274,0.8369002118181819,11
15,Albania,NATO,2012,0.014011075233978492,0.09813049255913979,0.8878584348387096,0.8981567330107526,93
16,Albania,NATO,2013,0.0068016955757352945,0.5486676981764705,0.44453060862500005,0.7926159717647059,136
17,Albania,NATO,2014,0.011329853747000001,0.706495006,0.282175143,0.739607306,10
18,Albania,NATO,2016,0.004405026397714286,0.08876759517142857,0.9068273754285715,0.9101033365714285,35
19,Albania,NATO,2017,0.001791698984375,0.70902721125,0.2891810780625,0.8005436425,16
20,Albania,NATO,2019,0.002121243681818182,0.8543286063636363,0.14355011190909092,0.8543286063636363,11
21,Albania,NATO,2020,0.0012877703125,0.47740605575,0.5213061775,0.73843517125,8
22,Albania,NATO,2022,0.0019783236454545454,0.7072414863636364,0.290780168,0.7831241727272726,11
23,Albania,NATO,2023,0.003427654240909091,0.76540252,0.23116981945454543,0.8096673654545454,11
24,Albania,RUSSIA,2013,0.10784908194117647,0.10617937576470589,0.7859715467058823,0.838927831764706,17
25,Albania,RUSSIA,2022,0.97316676,0.0041696257,0.02266362,0.97316676,1
26,Albania,RUSSIA,2023,0.9359584025000001,0.007303076449999999,0.0567385265,0.9359584025000001,4
27,Albania,US,2005,0.0009859799666666667,0.9571927466666666,0.041821307333333335,0.9571927466666666,3
28,Albania,US,2012,0.007626389813636364,0.058630582068181815,0.9337430304545454,0.9337430304545454,22
29,Albania,US,2013,0.016163890744857145,0.31113621831428573,0.6726998855428571,0.8599817511428571,35
30,Albania,US,2017,0.0006423439,0.9803805,0.018977197,0.9803805,1
31,Albania,US,2022,0.0011625546,0.9194184,0.07941907,0.9194184,1
32,Argentina,CHINA,1999,0.014848782,0.011604279,0.9735469,0.9735469,1
33,Argentina,CHINA,2007,0.016438626,0.0069932723,0.97656816,0.97656816,1
34,Argentina,CHINA,2010,0.014726214916666668,0.09517238883333334,0.8901014033333333,0.8901014033333333,6
35,Argentina,CHINA,2015,0.018487800640000003,0.3611752922,0.6203369110000001,0.799036345,10
36,Argentina,CHINA,2018,0.08497072,0.12135758,0.79367167,0.79367167,2
37,Argentina,CHINA,2023,0.0041840053,0.5101811,0.4856349,0.5101811,1
38,Argentina,EU,2010,0.0022664086,0.025423585,0.9723099999999999,0.9723099999999999,3
39,Argentina,EU,2015,0.001309337,0.5590744,0.4396163,0.5590744,1
40,Argentina,EU,2018,0.0033067772,0.16395395,0.83273935,0.83273935,1
41,Argentina,NATO,1999,0.00389805785,0.0189390805,0.977162835,0.977162835,2
42,Argentina,NATO,2015,0.0020321212,0.15833119,0.8396367,0.8396367,1
43,Argentina,NATO,2023,0.014035126979999998,0.08806813620000001,0.8978967580000001,0.8978967580000001,5
44,Argentina,RUSSIA,2007,0.009906002149999999,0.00865018,0.9814438,0.9814438,2
45,Argentina,RUSSIA,2010,0.013627066,0.2665038475,0.71986907125,0.82019986375,8
46,Argentina,RUSSIA,2015,0.028781097760000002,0.33149723239999995,0.639721716,0.788680946,5
47,Argentina,RUSSIA,2018,0.051132241999999994,0.213482465,0.73538528,0.73538528,2
48,Argentina,US,1999,0.0023085411333333334,0.009122023733333333,0.9885694099999999,0.9885694099999999,3
49,Argentina,US,2007,0.000591129,0.019918302,0.9794906,0.9794906,1
50,Argentina,US,2010,0.03714839843642857,0.2245275112857143,0.7383241092857142,0.7820119964285714,14
51,Argentina,US,2015,0.004330272221428571,0.19095659735714285,0.8047131414285714,0.8629369164285715,14
52,Argentina,US,2018,0.0048392396,0.071686625,0.92347413,0.92347413,1
53,Argentina,US,2023,0.00200339505,0.22686361533333335,0.7711329666666668,0.8140257166666668,6
54,Armenia,CHINA,2007,0.0056865006,0.6792888,0.31502473,0.6792888,1
55,Armenia,CHINA,2020,0.0012926701,0.9494361,0.04927128,0.9494361,1
56,Armenia,EU,2007,0.024967084815,0.6554242633333334,0.31960865450000003,0.8566869083333333,6
57,Armenia,EU,2020,0.00035194273,0.96684321,0.03280482366666667,0.96684321,3
58,Armenia,NATO,2007,0.0029798847344444444,0.8495470582222223,0.14747305855555556,0.9484721199999999,9
